thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,force_advance_2.keys,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,n_back_instructions.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,text_2.stopped,ir_zero_otherwise_press.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,response_time_into_iti,press_to_continue_prompt.stopped,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
23,0,23,None,['left'],1,[0.6809240420116112],[0.13517304096603766],None,,3,0,3,0,0,0,0,0,,,,,23,0,23,0,408.3522347500548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.3495491250069,408.3522347500548,408.36201716668825,408.3522347500548,408.3522347500548,True,409.09531270805746,409.10025233303895,409.1286808330333,True,411.3335903750267,411.3360748330015,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,24,24,23,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,680.92,0.6809,1,True,correct_rejection,0,0,0,1,0,0,1.0,23,23,2.9879199999850243,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,680.92,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.6809240420116112],[0.13517304096603766],None,411.33837341703475,411.3453787920298,411.3453787920298,411.5806220830418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
24,0,24,None,['right'],1,[0.6246424580458552],[0.17660141695523635],None,,3,0,3,0,0,0,0,0,,,,,24,0,24,0,411.58535066701006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.582363500027,411.58535066701006,411.5952822087022,411.58535066701006,411.58535066701006,True,412.3286904580309,412.33346745802555,412.3620151250507,True,414.5667141250451,414.5692823330173,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,25,25,24,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,624.64,0.6246,1,True,hit,1,0,0,0,0,0,1.0,24,24,2.987692040973343,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,624.64,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.6246424580458552],[0.17660141695523635],None,414.5717821670114,414.5786993330112,414.5786993330112,414.8138985420228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
25,0,25,None,['left'],1,[0.614335874968674],[0.15767704200698063],None,,3,0,3,0,0,0,0,0,,,,,25,0,25,0,414.8182510000188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.8156247920124,414.8182510000188,414.82858066668655,414.8182510000188,414.8182510000188,True,415.5619560830528,415.5619560830528,415.59539079200476,True,417.80056516703917,417.8033479170408,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,26,26,25,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,614.34,0.6143,1,True,correct_rejection,0,0,0,1,0,0,1.0,25,25,2.9882880829973146,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,614.34,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.614335874968674],[0.15767704200698063],None,417.8056507500005,417.8119972080458,417.8119972080458,418.04742650000844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
26,0,26,None,['right'],1,[0.606678708049003],[0.16777787497267127],None,,3,0,3,0,0,0,0,0,,,,,26,0,26,0,418.0518345000455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.04915475001326,418.0518345000455,418.0620022497062,418.0518345000455,418.0518345000455,True,418.7954150000005,418.80014187505003,418.8286292500561,True,421.03351300000213,421.0360841250513,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,27,27,26,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,target,True,right,target_response,606.68,0.6067,1,True,hit,1,0,0,0,0,0,1.0,26,26,2.987718207994476,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,606.68,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.606678708049003],[0.16777787497267127],None,421.03839108301327,421.0452947920421,421.0452947920421,421.28059062501416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
27,0,27,None,['left'],1,[0.44508641702122986],[0.1674175409716554],None,,3,0,3,0,0,0,0,0,,,,,27,0,27,0,421.2867210000404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.28365566703724,421.2867210000404,421.29522999970163,421.2867210000404,421.2867210000404,True,422.02866170805646,422.0335134580382,422.0620793750277,True,424.26692337502027,424.2694307920174,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,28,28,27,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,445.09,0.4451,1,True,correct_rejection,0,0,0,1,0,0,1.0,27,27,2.9879214160027914,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,445.09,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.44508641702122986],[0.1674175409716554],None,424.2719424170209,424.2786047080299,424.2786047080299,424.51397120801266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
28,0,28,None,['left'],1,[0.698768415953964],[0.15034104202641174],None,,3,0,3,0,0,0,0,0,,,,,28,0,28,0,424.51842054200824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.51571850001346,424.51842054200824,424.5286552087093,424.51842054200824,424.51842054200824,True,425.26199537504,425.2669367500348,425.29578504204983,True,427.50040004204493,427.5028880830505,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,29,29,28,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,698.77,0.6988,1,True,correct_rejection,0,0,0,1,0,0,1.0,28,28,2.9880104169715196,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,698.77,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.698768415953964],[0.15034104202641174],None,427.505217833037,427.51195808302145,427.51195808302145,427.74741479201475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
29,0,29,None,['left'],1,[0.6647523749852553],[0.14942708401940763],None,,3,0,3,0,0,0,0,0,,,,,29,0,29,0,427.7524165830109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.7496773330495,427.7524165830109,427.7620062496901,427.7524165830109,427.7524165830109,True,428.49536837503547,428.5000104170176,428.52865341701545,True,430.7337749580038,430.7362200420466,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,30,30,29,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,664.75,0.6648,1,True,correct_rejection,0,0,0,1,0,0,1.0,29,29,2.9879565829760395,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,664.75,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.6647523749852553],[0.14942708401940763],None,430.738536458055,430.7454622500227,430.7454622500227,430.980597375019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
30,0,30,None,['left'],1,[0.591285957954824],[0.14422366704093292],None,,3,0,3,0,0,0,0,0,,,,,30,0,30,0,430.9851022500079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.98233758303104,430.9851022500079,430.99525824969555,430.9851022500079,430.9851022500079,True,431.72876270802226,431.73380195803475,431.76204395800596,True,433.96689441701164,433.9694280420081,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,31,31,30,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,591.29,0.5913,1,True,correct_rejection,0,0,0,1,0,0,1.0,30,30,2.987902583030518,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,591.29,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.591285957954824],[0.14422366704093292],None,433.971961125033,433.9786212500185,433.9786212500185,434.21390404202975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
31,0,31,None,['left'],1,[0.4970628329901956],[0.14952000003540888],None,,3,0,3,0,0,0,0,0,,,,,31,0,31,0,434.21999245800544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.2169948750525,434.21999245800544,434.2286006666875,434.21999245800544,434.21999245800544,True,434.96203120803693,434.96734845801257,434.99542070803,True,437.2001755000092,437.20268662500894,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,32,32,31,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,497.06,0.4971,1,True,correct_rejection,0,0,0,1,0,0,1.0,31,31,2.987863499962259,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,497.06,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.4970628329901956],[0.14952000003540888],None,437.204993500025,437.21194875001675,437.21194875001675,437.44744154205546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
32,0,32,None,['left'],1,[0.6408406669506803],[0.140876958030276],None,,3,0,3,0,0,0,0,0,,,,,32,0,32,0,437.45150500000454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.4491445000167,437.45150500000454,437.46204495866937,437.45150500000454,437.45150500000454,True,438.1953168330365,438.2000168330269,438.22866616700776,True,440.4335892080562,440.43614325003,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,33,33,32,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,640.84,0.6408,1,True,correct_rejection,0,0,0,1,0,0,1.0,32,32,2.9877767500001937,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,640.84,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.6408406669506803],[0.140876958030276],None,440.4384673330351,440.4452740000561,440.4452740000561,440.6806625420577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
33,0,33,None,['left'],1,[0.5974655410391279],[0.1501172089483589],None,,3,0,3,0,0,0,0,0,,,,,33,0,33,0,440.68579779204447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.68298004200915,440.68579779204447,440.6953128746866,440.68579779204447,440.68579779204447,True,441.42873962502927,441.43394300004,441.4620508750086,True,443.66677950002486,443.6693412080058,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,34,34,33,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,597.47,0.5975,1,True,correct_rejection,0,0,0,1,0,0,1.0,33,33,2.987725874991156,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,597.47,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5974655410391279],[0.1501172089483589],None,443.6718573330436,443.67865983303636,443.67865983303636,443.91402800002834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
34,0,34,None,['left'],1,[0.5808358750073239],[0.1285448749549687],None,,3,0,3,0,0,0,0,0,,,,,34,0,34,0,443.91868062503636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.9157572920085,443.91868062503636,443.92868558370196,443.91868062503636,443.91868062503636,True,444.662014792033,444.66688487504143,444.69535954203457,True,446.89985000004526,446.9025807500002,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,35,35,34,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,580.84,0.5808,1,True,correct_rejection,0,0,0,1,0,0,1.0,34,34,2.9875755830435082,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,580.84,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5808358750073239],[0.1285448749549687],None,446.9049795830506,446.91190633299993,446.91190633299993,447.1472413330339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
35,0,35,None,['right'],1,[0.7308731669909321],[0.15184449998196214],None,,3,0,3,0,0,0,0,0,,,,,35,0,35,0,447.15163458301686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.1489915420534,447.15163458301686,447.1619464997241,447.15163458301686,447.15163458301686,True,447.89532195799984,447.8997435000492,447.9287047079997,True,450.13336050004,450.13620104204165,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,36,36,35,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,target,True,right,target_response,730.87,0.7309,1,True,hit,1,0,0,0,0,0,1.0,35,35,2.9878285840386525,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,730.87,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.7308731669909321],[0.15184449998196214],None,450.13850850000745,450.14531250001164,450.14531250001164,450.3805482080206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
36,0,36,None,['left'],1,[0.5474785409751348],[0.14927995903417468],None,,3,0,3,0,0,0,0,0,,,,,36,0,36,0,450.3863086250494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.38340416701976,450.3863086250494,450.39524791669487,450.3863086250494,450.3863086250494,True,451.1286502920557,451.1336335420492,451.1620715420577,True,453.36692054203013,453.3692545830272,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,37,37,36,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,547.48,0.5475,1,True,correct_rejection,0,0,0,1,0,0,1.0,36,36,2.987966749991756,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,547.48,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5474785409751348],[0.14927995903417468],None,453.37196466705063,453.37861204205547,453.37861204205547,453.6139006250305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
37,0,37,None,['right'],1,[0.4974493340123445],[0.14407808298710734],None,,3,0,3,0,0,0,0,0,,,,,37,0,37,0,453.618297500012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.6156283750315,453.618297500012,453.62858295871797,453.618297500012,453.618297500012,True,454.36204237502534,454.36693733301945,454.3953380420571,True,456.599813708046,456.60247241705656,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,38,38,37,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,target,True,right,target_response,497.45,0.4974,1,True,hit,1,0,0,0,0,0,1.0,37,37,2.9875411670072936,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,497.45,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.4974493340123445],[0.14407808298710734],None,456.60481075005373,456.6119477500324,456.6119477500324,456.8474158330355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
38,0,38,None,['left'],1,[0.5493767090374604],[0.14830758300377056],None,,3,0,3,0,0,0,0,0,,,,,38,0,38,0,456.85248575004516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.8496535420418,456.85248575004516,456.8620237917096,456.85248575004516,456.85248575004516,True,457.59539104200667,457.59994037501747,457.6286319580395,True,459.8334532920271,459.83602712501306,main_1back,Main 1-back,4,0,082527_j_2.25,001,2026-02-04_14h40.32.795,4,1,1,1_back,60,1,39,39,38,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,549.38,0.5494,1,True,correct_rejection,0,0,0,1,0,0,1.0,38,38,2.987665874999948,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,549.38,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5493767090374604],[0.14830758300377056],None,459.83828754205024,459.84538908302784,459.84538908302784,460.0745986250113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
